Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,CoChR,FOV1_007,,,HD of the entire FOV,,
,,FOV1_008,,,HD of the entire FOV,,
,,FOV1_009,,,HD of the entire FOV,,
,,FOV1_010,,,HD of the entire FOV,,
,,FOV1_011,,,hd of square 1,,
,,FOV1_012,7.8,Euler Full Field Photoreceptors Stimulation,square 1,1,yes
,,FOV1_013,7.8,Moving Bars in eight directions around the center of the FOV,square 1,2,yes
,,FOV1_014,,,hd of square 4,,
,,FOV1_015,7.8,Euler Full Field Photoreceptors Stimulation,square 4,1,yes
,,FOV1_016,7.8,Moving Bars in eight directions around the center of the FOV,square 4,2,yes
,,FOV1_017,,,hd of the square 3,,
,,FOV1_018,7.8,Euler Full Field Photoreceptors Stimulation,square 3,1,yes
,,FOV1_019,7.8,Moving Bars in eight directions around the center of the FOV,square 3,2,yes
,,FOV1_020,,,hd of the square 2,,
,,FOV1_021,7.8,Euler Full Field Photoreceptors Stimulation,square 2,1,yes
,,FOV1_022,7.8,Moving Bars in eight directions around the center of the FOV,square 2,2,yes
